timestamp,pass,pattern,idx,addr,tx,rx,status,reason
2026-01-09 09:18:33.248,1,INC,75,0x30,0x4A,0x49,0x00,DATA_MISMATCH
2026-01-09 09:18:35.324,1,INC,153,0x30,0x98,0x00,0x00,RX_PREAMBLE
2026-01-09 09:18:39.006,1,DEC,28,0x30,0xE4,0x00,0xFF,STATUS_NONZERO
2026-01-09 09:18:40.897,1,DEC,99,0x30,0x9D,0x00,0x00,RX_PREAMBLE
2026-01-09 09:18:42.353,1,DEC,157,0x30,0x63,0x64,0x00,DATA_MISMATCH
2026-01-09 09:18:44.717,1,DEC,243,0x30,0x0D,0x00,0xFF,STATUS_NONZERO
2026-01-09 09:18:44.734,1,DEC,244,0x30,0x0C,0x00,0x00,RX_PREAMBLE
2026-01-09 09:18:45.534,1,RND,15,0x30,0x07,0xE0,0x00,DATA_MISMATCH
2026-01-09 09:18:49.893,1,RND,179,0x30,0x10,0x00,0xFF,STATUS_NONZERO
2026-01-09 09:18:49.909,1,RND,180,0x30,0x5E,0x00,0x00,RX_PREAMBLE
2026-01-09 09:18:52.529,2,INC,17,0x30,0x10,0x00,0x00,RX_PREAMBLE
2026-01-09 09:18:53.198,2,INC,42,0x30,0x29,0x00,0xFF,STATUS_NONZERO
2026-01-09 09:18:58.784,2,INC,206,0x30,0xCD,0x00,0x00,RX_LEN
2026-01-09 09:18:58.812,2,INC,207,0x30,0xCE,0x00,0xFF,STATUS_NONZERO
2026-01-09 09:18:58.935,2,INC,214,0x30,0xD5,0x00,0x00,RX_PREAMBLE
2026-01-09 09:18:59.124,2,INC,220,0x30,0xDB,0x00,0x00,RX_PREAMBLE
2026-01-09 09:19:00.226,2,DEC,3,0x30,0xFD,0x00,0xFF,STATUS_NONZERO
2026-01-09 09:19:00.854,2,DEC,25,0x30,0xE7,0x00,0x00,RX_PREAMBLE
